price|quantity|type|level
4519000|0.0197|0|5
4518000|3.5683|0|5
4517000|0.0221|0|5
4515000|0.694|0|5
4514000|4.0754|0|5
4513000|16.7152|0|5
4512000|15.0338|0|5
4511000|0.5749|0|5
4510000|5.899|0|5
4509000|7.6873|0|5
4520000|2.3803|1|5
4521000|15.0987|1|5
4523000|21.6942|1|5
4524000|4.3533|1|5
4525000|9.7927|1|5
4526000|4.005|1|5
4527000|4.4396|1|5
4528000|7.6323|1|5
4529000|0.0035|1|5
4530000|12.884|1|5
4519000|1.2796|0|5
4518000|3.5683|0|5
4517000|0.5071|0|5
4516000|3.59|0|5
4515000|15.694|0|5
4514000|1.0|0|5
4513000|1.7152|0|5
4512000|16.8138|0|5
4511000|0.5753|0|5
4510000|0.529|0|5
4520000|1.1173|1|5
4521000|15.0987|1|5
4523000|15.1022|1|5
4524000|3.3536|1|5
4525000|8.0127|1|5
4526000|4.004|1|5
4527000|9.8086|1|5
4528000|6.376|1|5
4529000|0.0035|1|5
4530000|11.3244|1|5
4519000|0.0197|0|5
4518000|4.8284|0|5
4517000|0.0221|0|5
4515000|4.284|0|5
4513000|20.3052|0|5
4512000|22.1838|0|5
4511000|0.5753|0|5
4510000|0.529|0|5
4509000|2.3173|0|5
4508000|0.0552|0|5
4520000|1.0602|1|5
4521000|30.1975|1|5
4523000|22.6338|1|5
4524000|4.002|1|5
4525000|4.002|1|5
4526000|4.4219|1|5
4527000|9.8086|1|5
4528000|6.376|1|5
4529000|0.4486|1|5
4530000|10.0644|1|5
4518000|3.3132|0|5
4517000|3.6121|0|5
4516000|2.2079|0|5
4515000|0.694|0|5
4513000|16.7152|0|5
4512000|22.1838|0|5
4511000|0.575|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|0.0572|0|5
4520000|1.001|1|5
4521000|33.7875|1|5
4523000|18.1022|1|5
4524000|4.3534|1|5
4525000|4.002|1|5
4526000|4.4219|1|5
4527000|9.8086|1|5
4528000|5.376|1|5
4529000|1.7087|1|5
4530000|10.0644|1|5
4518000|3.3132|0|5
4517000|3.6121|0|5
4516000|2.2079|0|5
4515000|4.284|0|5
4513000|16.7152|0|5
4512000|22.1838|0|5
4511000|0.575|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|0.0572|0|5
4520000|0.3364|1|5
4521000|33.7875|1|5
4523000|18.4541|1|5
4524000|4.0|1|5
4525000|9.37|1|5
4526000|4.4199|1|5
4527000|4.4356|1|5
4528000|6.6323|1|5
4529000|0.4486|1|5
4530000|10.0644|1|5
4520000|0.1931|0|5
4518000|3.3132|0|5
4517000|3.4903|0|5
4516000|3.59|0|5
4515000|4.284|0|5
4513000|16.7152|0|5
4512000|22.1838|0|5
4511000|0.2227|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4521000|33.6499|1|5
4523000|18.1022|1|5
4524000|4.002|1|5
4525000|9.7938|1|5
4526000|4.4219|1|5
4527000|4.4386|1|5
4528000|1.2663|1|5
4529000|0.4486|1|5
4530000|10.0644|1|5
4531000|18.0328|1|5
4518000|3.3132|0|5
4517000|2.2286|0|5
4515000|0.694|0|5
4514000|1.6735|0|5
4513000|19.3052|0|5
4512000|11.4438|0|5
4511000|4.1651|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|5.4272|0|5
4520000|3.3473|1|5
4521000|27.8349|1|5
4522000|3.942|1|5
4523000|19.1022|1|5
4524000|4.002|1|5
4525000|15.1638|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|0.258|1|5
4529000|0.4486|1|5
4519000|1.2599|0|5
4518000|6.9032|0|5
4517000|2.2276|0|5
4515000|15.694|0|5
4513000|1.7152|0|5
4512000|11.4438|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|0.0552|0|5
4521000|27.7607|1|5
4522000|3.59|1|5
4523000|15.0|1|5
4524000|4.4536|1|5
4525000|12.96|1|5
4526000|4.4199|1|5
4527000|4.002|1|5
4528000|5.624|1|5
4529000|0.4486|1|5
4530000|11.3244|1|5
4518000|4.5733|0|5
4517000|5.8176|0|5
4516000|3.59|0|5
4515000|15.694|0|5
4513000|1.7152|0|5
4512000|11.7962|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|0.0572|0|5
4521000|27.5993|1|5
4524000|23.0456|1|5
4525000|9.372|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|5.628|1|5
4529000|1.7087|1|5
4530000|10.0644|1|5
4531000|18.0328|1|5
4532000|0.002|1|5
4518000|3.3132|0|5
4517000|5.8176|0|5
4516000|3.59|0|5
4515000|15.694|0|5
4513000|2.0673|0|5
4512000|11.4438|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4508000|0.0572|0|5
4521000|29.6146|1|5
4524000|23.0456|1|5
4525000|9.372|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|5.628|1|5
4529000|1.7087|1|5
4530000|10.0644|1|5
4531000|18.0328|1|5
4532000|0.002|1|5
4519000|5.7772|0|5
4518000|3.3132|0|5
4517000|3.6121|0|5
4516000|3.59|0|5
4515000|15.694|0|5
4513000|1.7152|0|5
4512000|11.7963|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4509000|1.8459|0|5
4520000|0.3472|1|5
4521000|29.3676|1|5
4524000|23.0436|1|5
4525000|9.37|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|5.628|1|5
4529000|0.4486|1|5
4530000|10.0644|1|5
4531000|18.0328|1|5
4519000|4.506|0|5
4518000|3.3132|0|5
4517000|3.6121|0|5
4515000|19.284|0|5
4514000|1.7742|0|5
4513000|1.7152|0|5
4512000|16.8138|0|5
4511000|10.9627|0|5
4510000|0.529|0|5
4509000|2.3123|0|5
4521000|25.4889|1|5
4522000|3.59|1|5
4524000|18.6922|1|5
4525000|4.3534|1|5
4526000|4.4219|1|5
4527000|4.004|1|5
4528000|6.627|1|5
4529000|0.4526|1|5
4530000|10.0644|1|5
4531000|0.0228|1|5
4519000|2.2843|0|5
4518000|3.3132|0|5
4517000|3.4886|0|5
4515000|0.694|0|5
4513000|17.0673|0|5
4512000|16.3711|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4509000|2.3123|0|5
4508000|5.4272|0|5
4520000|0.198|1|5
4521000|25.4889|1|5
4522000|15.0|1|5
4523000|3.0|1|5
4524000|9.4742|1|5
4525000|9.7237|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|2.5185|1|5
4529000|0.4486|1|5
4519000|2.2843|0|5
4518000|3.3132|0|5
4517000|1.2826|0|5
4516000|3.59|0|5
4515000|0.694|0|5
4514000|3.59|0|5
4513000|17.0673|0|5
4512000|16.3711|0|5
4511000|5.5927|0|5
4510000|0.529|0|5
4521000|28.9776|1|5
4522000|18.59|1|5
4523000|3.0|1|5
4524000|9.4742|1|5
4525000|9.7237|1|5
4526000|4.4219|1|5
4527000|4.005|1|5
4528000|2.5185|1|5
4529000|0.4486|1|5
4530000|10.0644|1|5
4519000|2.2791|0|5
4518000|3.3132|0|5
4517000|0.0221|0|5
4516000|1.2607|0|5
4515000|0.694|0|5
4513000|15.7152|0|5
4512000|15.1219|0|5
4511000|0.5751|0|5
4510000|0.529|0|5
4509000|7.2159|0|5
4520000|7.0096|1|5
4521000|24.5798|1|5
4522000|18.0|1|5
4523000|4.0|1|5
4524000|9.824|1|5
4525000|9.8046|1|5
4526000|9.7919|1|5
4527000|2.2648|1|5
4528000|0.257|1|5
4529000|2.9917|1|5
4518000|3.3132|0|5
4517000|0.0221|0|5
4515000|0.694|0|5
4514000|1.2613|0|5
4513000|0.2725|0|5
4512000|15.0011|0|5
4511000|4.6147|0|5
4510000|1.529|0|5
4509000|7.1959|0|5
4508000|5.4272|0|5
4519000|0.4526|1|5
4520000|20.4241|1|5
4521000|32.9498|1|5
4522000|4.1022|1|5
4523000|4.4193|1|5
4524000|4.002|1|5
4525000|5.6939|1|5
4526000|5.7879|1|5
4528000|0.252|1|5
4529000|0.0035|1|5
4518000|1.5487|0|5
4517000|0.0221|0|5
4515000|0.694|0|5
4514000|1.2614|0|5
4513000|0.2725|0|5
4512000|5.2315|0|5
4511000|15.2227|0|5
4510000|5.4714|0|5
4509000|7.1959|0|5
4508000|15.4252|0|5
4519000|7.4216|1|5
4520000|19.0|1|5
4521000|32.9498|1|5
4522000|10.2424|1|5
4523000|4.4193|1|5
4524000|5.2634|1|5
4525000|1.4346|1|5
4526000|5.7899|1|5
4527000|0.003|1|5
4528000|0.256|1|5
4518000|2.7424|0|5
4517000|0.0221|0|5
4515000|0.694|0|5
4514000|1.2614|0|5
4513000|0.2725|0|5
4512000|1.6475|0|5
4511000|18.8127|0|5
4510000|1.8814|0|5
4509000|7.1959|0|5
4508000|15.4272|0|5
4519000|4.877|1|5
4520000|19.0|1|5
4521000|32.9498|1|5
4522000|10.2424|1|5
4523000|4.4193|1|5
4524000|4.002|1|5
4525000|2.6959|1|5
4526000|5.7899|1|5
4527000|0.003|1|5
4528000|0.256|1|5
4518000|2.7301|0|5
4517000|0.0221|0|5
4515000|1.2017|0|5
4513000|1.5341|0|5
4512000|1.6266|0|5
4511000|18.8127|0|5
4510000|5.6267|0|5
4509000|7.1959|0|5
4508000|15.4272|0|5
4507000|0.6759|0|5
4519000|0.4|1|5
4520000|19.3521|1|5
4521000|27.5798|1|5
4522000|4.5208|1|5
4523000|4.4193|1|5
4524000|5.2614|1|5
4525000|1.4326|1|5
4526000|4.0079|1|5
4528000|3.842|1|5
4529000|0.0035|1|5
4518000|0.0188|0|5
4517000|0.0221|0|5
4515000|3.0359|0|5
4513000|1.534|0|5
4512000|1.6266|0|5
4511000|15.2227|0|5
4510000|4.9795|0|5
4509000|6.4159|0|5
4508000|15.4272|0|5
4507000|0.6779|0|5
4520000|18.9563|1|5
4521000|27.5798|1|5
4522000|4.5208|1|5
4523000|4.4193|1|5
4524000|5.2634|1|5
4525000|0.4346|1|5
4526000|4.4619|1|5
4527000|0.003|1|5
4528000|3.846|1|5
4529000|0.0035|1|5
4517000|0.0221|0|5
4515000|0.827|0|5
4513000|0.2725|0|5
4512000|1.6377|0|5
4511000|15.2227|0|5
4510000|4.6267|0|5
4509000|6.7688|0|5
4508000|15.4272|0|5
4507000|0.6779|0|5
4506000|0.0376|0|5
4518000|5.9622|1|5
4519000|0.8326|1|5
4520000|19.0|1|5
4521000|27.9318|1|5
4522000|4.5208|1|5
4523000|5.2463|1|5
4524000|4.0|1|5
4525000|0.4346|1|5
4526000|5.3841|1|5
4527000|0.002|1|5
4515000|0.694|0|5
4513000|0.2725|0|5
4512000|0.0011|0|5
4511000|0.2227|0|5
4510000|1.7351|0|5
4509000|17.256|0|5
4508000|15.7779|0|5
4507000|5.2659|0|5
4506000|0.0356|0|5
4505000|3.8697|0|5
4517000|6.7517|1|5
4518000|21.9622|1|5
4519000|1.3518|1|5
4520000|4.1022|1|5
4521000|28.7245|1|5
4522000|1.4186|1|5
4523000|0.4193|1|5
4524000|0.9193|1|5
4525000|0.4326|1|5
4526000|3.59|1|5
4517000|0.0064|0|5
4515000|2.9034|0|5
4513000|0.2725|0|5
4512000|1.6377|0|5
4511000|15.2227|0|5
4510000|5.1526|0|5
4509000|3.6109|0|5
4508000|16.4272|0|5
4507000|1.6779|0|5
4506000|0.0386|0|5
4520000|4.8311|1|5
4521000|43.0339|1|5
4522000|1.0|1|5
4523000|0.4413|1|5
4524000|1.2636|1|5
4525000|0.4346|1|5
4526000|0.002|1|5
4527000|3.593|1|5
4528000|6.664|1|5
4529000|0.0035|1|5
4516000|1.263|0|5
4515000|4.284|0|5
4514000|3.8465|0|5
4513000|18.8625|0|5
4512000|0.0011|0|5
4511000|7.8806|0|5
4510000|1.5478|0|5
4509000|3.258|0|5
4508000|20.7972|0|5
4507000|0.6779|0|5
4517000|0.1674|1|5
4520000|3.59|1|5
4521000|27.5798|1|5
4522000|7.6922|1|5
4523000|19.7927|1|5
4524000|9.372|1|5
4525000|5.8046|1|5
4526000|0.002|1|5
4527000|1.2638|1|5
4528000|5.622|1|5
4515000|19.284|0|5
4513000|0.2725|0|5
4512000|3.5911|0|5
4511000|7.0187|0|5
4510000|1.5478|0|5
4509000|3.256|0|5
4508000|20.7952|0|5
4507000|0.6759|0|5
4506000|0.0386|0|5
4505000|0.7559|0|5
4516000|0.7296|1|5
4517000|0.0491|1|5
4519000|0.0442|1|5
4521000|24.5798|1|5
4522000|7.6922|1|5
4523000|19.3514|1|5
4524000|12.962|1|5
4525000|6.8046|1|5
4526000|0.002|1|5
4527000|0.4536|1|5
4516000|3.59|0|5
4515000|2.3275|0|5
4514000|20.7994|0|5
4513000|0.2725|0|5
4512000|1.4445|0|5
4511000|12.3887|0|5
4510000|1.9002|0|5
4509000|2.258|0|5
4508000|15.4272|0|5
4507000|0.2238|0|5
4519000|0.0329|1|5
4521000|28.1698|1|5
4522000|3.4537|1|5
4523000|22.59|1|5
4524000|9.7948|1|5
4525000|6.8046|1|5
4526000|1.2625|1|5
4527000|0.4536|1|5
4528000|8.444|1|5
4529000|0.0035|1|5
4516000|3.729|0|5
4515000|4.5364|0|5
4514000|18.59|0|5
4513000|0.2725|0|5
4512000|1.9376|0|5
4511000|12.3887|0|5
4510000|1.9002|0|5
4509000|2.258|0|5
4508000|15.4252|0|5
4507000|0.2218|0|5
4519000|0.0287|1|5
4520000|3.59|1|5
4521000|24.9314|1|5
4522000|6.6922|1|5
4523000|19.0|1|5
4524000|9.7928|1|5
4525000|6.8026|1|5
4527000|0.4506|1|5
4528000|6.1089|1|5
4529000|2.8215|1|5
4515000|0.694|0|5
4514000|3.59|0|5
4513000|5.3748|0|5
4512000|18.5911|0|5
4511000|0.6487|0|5
4510000|1.0985|0|5
4509000|2.6307|0|5
4508000|26.1672|0|5
4507000|0.2238|0|5
4506000|0.0386|0|5
4518000|3.59|1|5
4519000|0.0287|1|5
4520000|3.59|1|5
4521000|43.9317|1|5
4522000|4.1022|1|5
4523000|4.0|1|5
4524000|11.056|1|5
4525000|6.8046|1|5
4526000|0.002|1|5
4527000|0.4536|1|5
4516000|0.139|0|5
4515000|0.694|0|5
4513000|5.124|0|5
4512000|1.6346|0|5
4511000|3.8127|0|5
4510000|16.2375|0|5
4509000|2.278|0|5
4508000|21.15|0|5
4507000|0.6564|0|5
4506000|0.0386|0|5
4517000|3.59|1|5
4519000|0.0287|1|5
4520000|7.044|1|5
4521000|43.7201|1|5
4522000|14.74|1|5
4523000|5.6828|1|5
4524000|4.4248|1|5
4525000|1.4346|1|5
4526000|0.4849|1|5
4527000|0.4536|1|5
4515000|0.694|0|5
4513000|6.0704|0|5
4512000|1.2626|0|5
4511000|3.8127|0|5
4510000|16.0985|0|5
4509000|2.7633|0|5
4508000|21.1482|0|5
4507000|0.6544|0|5
4506000|0.0356|0|5
4505000|0.2597|0|5
4517000|3.3768|1|5
4519000|0.0287|1|5
4520000|7.044|1|5
4521000|43.7201|1|5
4522000|14.74|1|5
4523000|5.6828|1|5
4524000|4.4228|1|5
4525000|1.4326|1|5
4526000|0.002|1|5
4527000|0.4536|1|5
4515000|0.6719|0|5
4513000|0.2725|0|5
4512000|0.0011|0|5
4511000|1.8433|0|5
4510000|18.6885|0|5
4509000|2.258|0|5
4508000|16.7799|0|5
4507000|0.6564|0|5
4506000|0.0386|0|5
4505000|5.6537|0|5
