price|quantity|type|level
4766000|0.0211|0|5
4776000|0.002|1|5
4777000|0.004|1|5
4779000|0.0031|1|5
4780000|0.002|1|5
4781000|0.3113|1|5
4782000|21.6231|1|5
4783000|4.3356|1|5
4784000|3.4681|1|5
4785000|1.0034|1|5
4786000|1.4388|1|5
4775000|15.663|0|5
4774000|3.0|0|5
4773000|8.0348|0|5
4772000|1.0|0|5
4771000|19.0|0|5
4770000|1.337|0|5
4769000|1.4505|0|5
4768000|12.8595|0|5
4767000|0.4404|0|5
4766000|0.0211|0|5
4776000|0.0|1|5
4777000|0.006|1|5
4778000|0.002|1|5
4779000|0.0051|1|5
4780000|0.005|1|5
4781000|0.0031|1|5
4782000|18.9559|1|5
4783000|4.0055|1|5
4784000|3.4681|1|5
4785000|4.0034|1|5
4775000|10.2542|0|5
4774000|6.59|0|5
4773000|8.0348|0|5
4772000|1.0|0|5
4771000|19.0|0|5
4770000|1.337|0|5
4769000|1.4505|0|5
4768000|12.8595|0|5
4767000|0.4404|0|5
4766000|0.0211|0|5
4776000|0.0|1|5
4777000|0.006|1|5
4778000|0.002|1|5
4779000|0.0051|1|5
4780000|0.005|1|5
4781000|0.0031|1|5
4782000|18.9559|1|5
4783000|4.0055|1|5
4784000|3.4681|1|5
4785000|4.0034|1|5
4777000|8.0404|0|5
4776000|2.5357|0|5
4775000|3.0|0|5
4774000|4.0|0|5
4773000|7.59|0|5
4772000|1.0|0|5
4771000|23.374|0|5
4770000|1.0035|0|5
4769000|0.4505|0|5
4768000|12.8595|0|5
4779000|0.0031|1|5
4780000|0.002|1|5
4781000|0.0031|1|5
4782000|18.6231|1|5
4783000|1.3136|1|5
4784000|3.039|1|5
4785000|4.0034|1|5
4786000|4.4388|1|5
4787000|11.4564|1|5
4788000|1.4472|1|5
4779000|4.8155|0|5
4778000|8.0465|0|5
4777000|6.082|0|5
4776000|16.4476|0|5
4775000|4.0|0|5
4774000|1.7596|0|5
4773000|1.0|0|5
4772000|0.4294|0|5
4771000|4.041|0|5
4770000|0.0035|0|5
4781000|0.3348|1|5
4782000|2.9295|1|5
4783000|0.002|1|5
4784000|0.039|1|5
4785000|0.0034|1|5
4786000|15.0|1|5
4787000|13.3368|1|5
4788000|3.4472|1|5
4789000|4.3342|1|5
4790000|1.4571|1|5
4779000|5.0465|0|5
4777000|4.1894|0|5
4775000|4.4405|0|5
4774000|4.4266|0|5
4773000|1.0|0|5
4772000|15.4294|0|5
4771000|0.471|0|5
4770000|0.3369|0|5
4769000|0.4505|0|5
4768000|5.7095|0|5
4781000|0.008|1|5
4782000|2.2608|1|5
4783000|0.6711|1|5
4784000|15.039|1|5
4785000|3.1056|1|5
4786000|3.0|1|5
4787000|4.3368|1|5
4788000|4.4444|1|5
4789000|13.7282|1|5
4790000|1.4571|1|5
4781000|0.0167|0|5
4779000|5.0465|0|5
4777000|2.9939|0|5
4775000|4.4405|0|5
4774000|4.4266|0|5
4773000|1.0|0|5
4772000|15.4294|0|5
4771000|0.471|0|5
4770000|0.3369|0|5
4769000|0.4505|0|5
4782000|1.8915|1|5
4783000|1.0033|1|5
4784000|15.039|1|5
4785000|3.1056|1|5
4786000|3.0|1|5
4787000|4.3368|1|5
4788000|4.4444|1|5
4789000|13.7282|1|5
4790000|1.4571|1|5
4791000|6.7038|1|5
4781000|5.0632|0|5
4775000|4.4405|0|5
4774000|4.4266|0|5
4773000|1.0|0|5
4772000|15.4294|0|5
4771000|4.061|0|5
4770000|0.3369|0|5
4769000|0.4505|0|5
4768000|5.7095|0|5
4766000|5.3911|0|5
4782000|0.1843|1|5
4783000|1.3377|1|5
4784000|18.039|1|5
4785000|3.1056|1|5
4786000|3.0|1|5
4787000|4.3368|1|5
4788000|4.4444|1|5
4789000|10.7282|1|5
4790000|1.4571|1|5
4791000|5.7038|1|5
4781000|5.0632|0|5
4780000|0.3723|0|5
4777000|1.1956|0|5
4776000|1.8071|0|5
4775000|4.4405|0|5
4774000|4.4477|0|5
4773000|1.0|0|5
4772000|16.4294|0|5
4771000|4.061|0|5
4770000|0.3369|0|5
4782000|0.2334|1|5
4783000|1.0055|1|5
4784000|18.039|1|5
4785000|4.1056|1|5
4786000|3.0|1|5
4787000|4.3368|1|5
4788000|5.6401|1|5
4789000|10.7282|1|5
4790000|1.4571|1|5
4791000|5.7038|1|5
4781000|4.968|0|5
4780000|0.3723|0|5
4776000|2.9956|0|5
4775000|4.4405|0|5
4774000|4.4477|0|5
4773000|4.0251|0|5
4772000|16.4294|0|5
4771000|4.061|0|5
4770000|0.3369|0|5
4769000|0.4505|0|5
4782000|0.2334|1|5
4783000|1.0055|1|5
4784000|18.039|1|5
4785000|4.1056|1|5
4786000|3.0|1|5
4787000|5.5326|1|5
4788000|4.4444|1|5
4789000|10.7282|1|5
4790000|1.4571|1|5
4791000|5.9862|1|5
4776000|0.0209|0|5
4774000|4.8177|0|5
4773000|4.0251|0|5
4772000|19.8715|0|5
4771000|1.451|0|5
4770000|1.0035|0|5
4769000|0.7839|0|5
4768000|3.6095|0|5
4767000|3.61|0|5
4766000|0.0211|0|5
4780000|0.276|1|5
4781000|0.1954|1|5
4782000|15.0|1|5
4783000|4.0055|1|5
4784000|4.039|1|5
4785000|4.0034|1|5
4786000|6.59|1|5
4787000|11.4408|1|5
4788000|5.0344|1|5
4789000|61.4304|1|5
4774000|2.1096|0|5
4773000|0.0251|0|5
4772000|5.222|0|5
4771000|19.0|0|5
4770000|4.0035|0|5
4769000|1.7841|0|5
4768000|1.0195|0|5
4767000|4.0304|0|5
4766000|0.0211|0|5
4765000|0.3338|0|5
4776000|0.155|1|5
4778000|0.3348|1|5
4780000|21.6|1|5
4782000|1.4211|1|5
4783000|4.6711|1|5
4784000|5.2356|1|5
4785000|1.4548|1|5
4786000|3.59|1|5
4787000|10.4408|1|5
4788000|4.0344|1|5
4774000|2.1096|0|5
4773000|0.0251|0|5
4772000|4.7799|0|5
4771000|3.0|0|5
4770000|4.0035|0|5
4769000|19.4505|0|5
4768000|1.4663|0|5
4767000|0.4204|0|5
4766000|0.0211|0|5
4765000|0.3338|0|5
4776000|3.6182|1|5
4778000|0.3348|1|5
4780000|18.0|1|5
4781000|4.0|1|5
4782000|1.4211|1|5
4783000|8.2611|1|5
4784000|4.039|1|5
4785000|56.747|1|5
4787000|15.8108|1|5
4788000|4.0344|1|5
4773000|0.0251|0|5
4771000|4.1969|0|5
4770000|4.7691|0|5
4769000|19.0176|0|5
4768000|4.4663|0|5
4767000|1.4204|0|5
4766000|0.3545|0|5
4765000|0.3338|0|5
4764000|5.0406|0|5
4763000|33.982|0|5
4774000|0.0415|1|5
4776000|3.4151|1|5
4778000|0.6692|1|5
4779000|18.1022|1|5
4780000|4.0|1|5
4781000|4.0|1|5
4782000|2.6181|1|5
4783000|8.2611|1|5
4784000|1.039|1|5
4785000|55.747|1|5
4773000|0.0251|0|5
4772000|1.1969|0|5
