price|quantity|type|level
91345000|0.0|0|5
91320000|0.0078|0|5
91314000|0.1491|0|5
91313000|0.0141|0|5
91280000|0.0001|0|5
91274000|0.0589|0|5
91260000|1.8001|0|5
91259000|0.0538|0|5
91256000|0.0305|0|5
91255000|0.0136|0|5
91350000|0.0002|1|5
91352000|0.0002|1|5
91364000|0.0573|1|5
91367000|0.0308|1|5
91369000|0.0357|1|5
91370000|0.0163|1|5
91372000|0.1627|1|5
91373000|0.0145|1|5
91374000|0.0631|1|5
91375000|0.0658|1|5
91345000|0.0|0|5
91314000|0.0002|0|5
91293000|0.14|0|5
91280000|0.0001|0|5
91274000|0.0591|0|5
91260000|1.8001|0|5
91259000|0.0538|0|5
91256000|0.0306|0|5
91255000|0.0136|0|5
91249000|0.0545|0|5
91348000|0.002|1|5
91352000|0.0002|1|5
91363000|0.0368|1|5
91364000|0.0573|1|5
91365000|0.0264|1|5
91366000|0.0286|1|5
91367000|0.1249|1|5
91370000|0.0107|1|5
91371000|0.0854|1|5
91372000|0.001|1|5
91345000|0.0|0|5
91315000|0.0001|0|5
91314000|0.0002|0|5
91301000|0.0078|0|5
91295000|0.0077|0|5
91294000|0.0141|0|5
91293000|0.14|0|5
91280000|0.0001|0|5
91274000|0.0591|0|5
91260000|1.8001|0|5
91347000|0.0002|1|5
91348000|0.0308|1|5
91350000|0.0357|1|5
91351000|0.0163|1|5
91352000|0.0002|1|5
91353000|0.0368|1|5
91354000|0.0145|1|5
91355000|0.0631|1|5
91356000|0.0286|1|5
91357000|0.075|1|5
91345000|0.0|0|5
91315000|0.0079|0|5
91314000|0.0002|0|5
91309000|0.0077|0|5
91308000|0.0141|0|5
91293000|0.14|0|5
91280000|0.0001|0|5
91275000|0.0079|0|5
91274000|0.0591|0|5
91260000|1.8001|0|5
91346000|0.0021|1|5
91352000|0.0002|1|5
91362000|0.0308|1|5
91364000|0.093|1|5
91365000|0.0163|1|5
91367000|0.0368|1|5
91368000|0.0145|1|5
91369000|0.0631|1|5
91370000|0.1036|1|5
91371000|0.0883|1|5
91345000|0.0|0|5
91315000|0.0001|0|5
91314000|0.0002|0|5
91310000|0.0078|0|5
91304000|0.0077|0|5
91303000|0.0141|0|5
91293000|0.14|0|5
91280000|0.0001|0|5
91274000|0.0591|0|5
91260000|1.8001|0|5
91346000|0.002|1|5
91352000|0.0002|1|5
91357000|0.0308|1|5
91359000|0.0357|1|5
91360000|0.0163|1|5
91362000|0.0368|1|5
91363000|0.0145|1|5
91364000|0.1204|1|5
91365000|0.0656|1|5
91366000|0.1263|1|5
91284000|0.0078|0|5
91280000|0.0001|0|5
91278000|0.0078|0|5
91277000|0.0141|0|5
91274000|0.1401|0|5
91260000|0.0001|0|5
91256000|0.0001|0|5
91255000|0.0136|0|5
91240000|0.0001|0|5
91235000|1.8604|0|5
91315000|0.0002|1|5
91331000|0.0308|1|5
91333000|0.0357|1|5
91334000|0.0162|1|5
91336000|0.0368|1|5
91337000|0.0145|1|5
91338000|0.0631|1|5
91339000|0.0656|1|5
91340000|0.1263|1|5
91341000|0.0316|1|5
91308000|0.0078|0|5
91302000|0.0078|0|5
91301000|0.0134|0|5
91297000|0.001|0|5
91295000|0.0001|0|5
91291000|0.317|0|5
91285000|0.001|0|5
91280000|0.0011|0|5
91277000|0.317|0|5
91274000|1.9401|0|5
91313000|0.0022|1|5
91339000|0.0002|1|5
91352000|0.0359|1|5
91355000|0.0308|1|5
91358000|0.0162|1|5
91360000|0.0368|1|5
91361000|0.0145|1|5
91362000|0.0631|1|5
91363000|0.0286|1|5
91364000|0.0943|1|5
91307000|0.001|0|5
91306000|0.005|0|5
91301000|0.0134|0|5
91295000|0.0078|0|5
91294000|0.0001|0|5
91291000|0.3172|0|5
91280000|0.0011|0|5
91277000|0.317|0|5
91274000|0.1401|0|5
91261000|0.0134|0|5
91312000|0.0002|1|5
91339000|0.0002|1|5
91348000|0.0308|1|5
91350000|0.0519|1|5
91352000|0.0002|1|5
91357000|0.0735|1|5
91358000|0.0431|1|5
91359000|0.058|1|5
91360000|0.0617|1|5
91361000|0.0398|1|5
